budget,popularity,runtime,cast_size,success,release_year,release_month,n_genres,n_keywords,is_english,main_genre_Action,main_genre_Adventure,main_genre_Animation,main_genre_Comedy,main_genre_Crime,main_genre_Documentary,main_genre_Drama,main_genre_Family,main_genre_Fantasy,main_genre_Foreign,main_genre_History,main_genre_Horror,main_genre_Music,main_genre_Mystery,main_genre_Romance,main_genre_Science Fiction,main_genre_Thriller,main_genre_Unknown,main_genre_War,main_genre_Western,release_season_Fall,release_season_Spring,release_season_Summer,release_season_Winter,director_te,lead_actor_te,main_company_te
237000000,150.437577,162.0,83,1,2009,12,4,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8571428571428571,0.25,0.5882352941176471
300000000,139.082615,169.0,34,1,2007,5,3,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.42857142857142855,0.46153846153846156,0.4895833333333333
245000000,107.376788,148.0,83,1,2015,10,3,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7142857142857143,0.625,0.41566265060240964
250000000,112.31295,165.0,158,1,2012,7,4,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.5,0.6666666666666666
260000000,43.926995,132.0,27,0,2012,3,3,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.75,0.0,0.4895833333333333
258000000,115.699814,139.0,143,0,2007,5,3,16,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.4,0.41566265060240964
260000000,48.681969,100.0,13,1,2010,11,2,15,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0.5,0.4895833333333333
280000000,134.279229,141.0,72,1,2015,4,3,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6666666666666666,0.7272727272727273,1.0
250000000,98.885637,153.0,49,1,2009,7,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6666666666666666,1.0,0.5925925925925926
250000000,155.790452,151.0,152,0,2016,3,3,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.42857142857142855,0.4375,0.25
270000000,57.925623,154.0,18,0,2006,6,4,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0.0,0.25
200000000,107.928811,106.0,32,1,2008,10,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7142857142857143,0.625,0.8
200000000,145.847379,151.0,33,1,2006,6,3,14,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.42857142857142855,0.46153846153846156,0.4895833333333333
255000000,49.046956,149.0,60,0,2013,7,3,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.42857142857142855,0.46153846153846156,0.4895833333333333
225000000,99.398009,143.0,33,1,2013,6,4,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.42857142857142855,0.3333333333333333,0.6666666666666666
225000000,53.978602,150.0,21,0,2008,5,3,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.75,0.0,0.6666666666666666
220000000,144.448633,143.0,115,1,2012,4,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6666666666666666,0.7272727272727273,0.4315352697095436
380000000,135.413856,136.0,35,1,2011,5,3,16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4,0.46153846153846156,0.4895833333333333
225000000,52.035179,106.0,18,1,2012,5,3,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7142857142857143,0.6875,0.6666666666666666
250000000,120.965743,144.0,42,1,2014,12,3,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7777777777777778,1.0,0.8
215000000,89.866276,136.0,57,1,2012,6,3,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.41566265060240964
200000000,37.668301,140.0,34,0,2010,5,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3125,0.15384615384615385,0.4
250000000,94.370564,161.0,32,1,2013,12,2,7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7777777777777778,1.0,0.8
180000000,42.990906,113.0,29,0,2007,12,2,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0.0,0.34814814814814815
207000000,61.22601,187.0,33,1,2005,12,3,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7777777777777778,0.25,0.8
